concept_id,variety_id
fog,puy_py
fog,puy_tp
fog,puy_ws
fog,puy_ks
fog,trv
fog,kav
fog,knv
fog,hla
fog,yam
fog,sak
fog,pan
snow,yam
ice,pan
ice,pmp
burn,pan
mountain,ami_nt
mountain,ami_hk
mountain,ami_ha
mountain,ami_ml
mountain,ami_hc
mountain,ata_sq
mountain,ata_su
mountain,ata_ml
mountain,ata_pl
mountain,ata_sk
mountain,ata_kl
mountain,say
mountain,tha
mountain,sed_to
mountain,sed_tg
mountain,sed_tr
mountain,bun_td
mountain,bun_bh
mountain,bun_vt
mountain,bun_bn
mountain,bun_ib
mountain,pai_es
mountain,pai_nt
mountain,pai_ct
mountain,pai_st
mountain,ruk_es
mountain,ruk_bd
mountain,ruk_tw
mountain,ruk_tn
mountain,ruk_mg
mountain,ruk_mn
mountain,puy_py
mountain,puy_tp
mountain,puy_ws
mountain,puy_ks
mountain,trv
mountain,kav
mountain,tso
mountain,knv
mountain,hla
mountain,yam
mountain,sak
green,pan
green,pmp
yellow,pan
yellow,pmp
warm,pan
good,puy_py
good,puy_tp
good,puy_ws
good,puy_ks
good,pan
rotten,ami_nt
rotten,ami_hk
rotten,ami_ha
rotten,ami_ml
rotten,ami_hc
rotten,ata_sq
rotten,ata_su
rotten,ata_ml
rotten,ata_pl
rotten,ata_sk
rotten,ata_kl
rotten,say
rotten,tha
rotten,sed_to
rotten,sed_tg
rotten,sed_tr
rotten,bun_td
rotten,bun_bh
rotten,bun_vt
rotten,bun_bn
rotten,bun_ib
rotten,pai_es
rotten,pai_nt
rotten,pai_ct
rotten,pai_st
rotten,ruk_es
rotten,ruk_bd
rotten,ruk_tw
rotten,ruk_tn
rotten,ruk_mg
rotten,ruk_mn
rotten,puy_py
rotten,puy_tp
rotten,puy_ws
rotten,puy_ks
rotten,trv
rotten,tso
rotten,knv
rotten,hla
rotten,yam
rotten,sak
dirty,pan
straight,pan
round,ami_nt
round,ami_hk
round,ami_ha
round,ami_ml
round,ami_hc
round,ata_sq
round,ata_su
round,ata_ml
round,ata_pl
round,ata_sk
round,ata_kl
round,say
round,tha
round,sed_to
round,sed_tg
round,sed_tr
round,bun_td
round,bun_bh
round,bun_vt
round,bun_bn
round,bun_ib
round,pai_es
round,pai_nt
round,pai_ct
round,pai_st
round,ruk_es
round,ruk_bd
round,ruk_tw
round,ruk_tn
round,ruk_mg
round,ruk_mn
round,puy_py
round,puy_tp
round,puy_ws
round,puy_ks
round,trv
round,kav
round,tso
round,knv
round,hla
round,yam
round,sak
round,pan
sharp,ami_nt
sharp,ami_hk
sharp,ami_ha
sharp,ami_ml
sharp,ami_hc
sharp,ata_sq
sharp,ata_su
sharp,ata_ml
sharp,ata_pl
sharp,ata_sk
sharp,ata_kl
sharp,say
sharp,tha
sharp,sed_to
sharp,sed_tg
sharp,sed_tr
sharp,bun_td
sharp,bun_bh
sharp,bun_vt
sharp,bun_bn
sharp,bun_ib
sharp,pai_es
sharp,pai_nt
sharp,pai_ct
sharp,pai_st
sharp,ruk_es
sharp,ruk_bd
sharp,ruk_tw
sharp,ruk_tn
sharp,ruk_mg
sharp,ruk_mn
sharp,puy_py
sharp,puy_tp
sharp,puy_ws
sharp,puy_ks
sharp,trv
sharp,kav
sharp,tso
sharp,knv
sharp,hla
sharp,yam
sharp,sak
dull,pan
wet,pan
in,pan
with,ami_nt
with,ami_hk
with,ami_ha
with,ami_ml
with,ami_hc
with,ata_sq
with,ata_su
with,ata_ml
with,ata_pl
with,ata_sk
with,ata_kl
with,say
with,tha
with,sed_to
with,sed_tg
with,sed_tr
with,bun_td
with,bun_bh
with,bun_vt
with,bun_bn
with,bun_ib
with,pai_es
with,pai_nt
with,pai_ct
with,pai_st
with,ruk_es
with,ruk_bd
with,ruk_tw
with,ruk_tn
