concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
fly,ami_nt,vaher,excel,25-12,飛,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,668,,
fall,ami_nt,terak,excel,25-26,(植物的果實)掉落,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,682,,
sit,ami_nt,maruʼ,excel,25-43,坐著,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,699,,
stand,ami_nt,temireng,excel,25-44,站著,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,700,,
sit,ami_nt,maruʼ,excel,26-03,坐下,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,712,,
hit,ami_nt,taes,excel,26-08,打(人),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,717,,
stab,ami_nt,cucuk,excel,26-09,刺,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,718,,
push,ami_nt,cekeruh,excel,26-13,推,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,722,,
scratch,ami_nt,kuskus,excel,26-18,抓癢,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,727,,
lie,ami_nt,taelingang,excel,26-20,仰躺,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,729,taengan躺,
blow,ami_nt,iyup,excel,26-28,吹,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,737,,
dig,ami_nt,kali,excel,26-29,挖掘,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,738,,
cut,ami_nt,cikcik,excel,26-30,切,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,739,,
swim,ami_nt,danguy,excel,26-31,游泳,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,740,,
tie,ami_nt,suut,excel,26-38,綁住,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,747,,
pull,ami_nt,tengteng,excel,26-39,拉,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,748,,
split,ami_nt,pelaʼ,excel,26-40,劈(木材),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,749,,
hold,ami_nt,awit,excel,26-42,提著,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,751,,
hold,ami_nt,rapet,excel,26-43,握著,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,752,,
tie,ami_nt,valud,excel,26-44,捆綁,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,753,,
scratch,ami_nt,kirikiri’,excel,26-56,搔癢,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,765,,
rub,ami_nt,lutlut,excel,26-85,揉搓(衣物),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,794,,
lie,ami_nt,kirir,excel,26-88,側臥,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,797,,
fight,ami_nt,maletaes,excel,26-96,打架,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,805,,
squeeze,ami_nt,celcel,excel,26-97,擠,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,806,,
dig,ami_nt,kali,excel,26-100,(用手)挖掘,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,809,,
stand,ami_nt,temireng,excel,26-105,起立,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,814,,
eat,ami_nt,kaen,excel,27-01,吃,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,816,,
suck,ami_nt,helup,excel,27-02,吸,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,817,,
drink,ami_nt,minanum,excel,27-03,喝,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,818,,
vomit,ami_nt,mutaʼ,excel,27-04,吐,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,819,,
