concept_id,variety_id,orth,ipa,note
they,pai_ct,tiamadju,,2026學習詞表 02-06「他們」
they,pai_st,tiamadju,,2026學習詞表 02-06「他們」
they,ruk_es,kolini,,2026學習詞表 02-06「他們」
they,ruk_bd,lalasu,,2026學習詞表 02-06「他們」
they,ruk_tw,lamaalalala/lamaalyali,,2026學習詞表 02-06「他們」：lamaalalala(他們)/lamaalyali(她們)
they,ruk_tn,kinadroway,,2026學習詞表 02-06「他們」
they,ruk_mg,kidri,,2026學習詞表 02-06「他們」
they,ruk_mn,analo,,2026學習詞表 02-06「他們」
they,puy_py,nadrunu,,2026學習詞表 02-06「他們」：nadru是省略語
they,puy_tp,nazu,,2026學習詞表 02-06「他們」
they,puy_ws,naziyu/nazu,,2026學習詞表 02-06「他們」
they,puy_ks,nadu,,2026學習詞表 02-06「他們」
they,trv,dhiya,,2026學習詞表 02-06「他們」：主格;第三人稱複數;排他性
they,kav,qaniyau,,2026學習詞表 02-06「他們」：主格
they,tso,hin’i,,2026學習詞表 02-06「他們」
they,knv,nguani,,2026學習詞表 02-06「他們」
they,hla,hlakanaʼana,,2026學習詞表 02-06「他們」
they,yam,sira,,2026學習詞表 02-06「他們」；2026學習詞表 02-09「他們」
they,sak,kuheni/uheni,,2026學習詞表 02-06「他們」
they,pmp,*ida,,"ACD PMP 19081-57b30897d8f6e257fe905a355332b3c1-1「they, them (cf *da)」"
this,ami_nt,kiniyan,,2026學習詞表 02-17「這個」
this,ami_hk,noni/nian,,2026學習詞表 02-17「這個」
this,ami_ha,oni,,2026學習詞表 02-17「這個」
this,ami_ml,koni,,2026學習詞表 02-17「這個」
this,ami_hc,koni,,2026學習詞表 02-17「這個」：未特定強調或特意指定的說法
this,ata_sq,qani,,2026學習詞表 02-17「這個」
this,ata_su,hani,,2026學習詞表 02-17「這個」
this,ata_ml,hani,,2026學習詞表 02-17「這個」
this,ata_pl,kani/hani,,2026學習詞表 02-17「這個」
this,ata_sk,qani,,2026學習詞表 02-17「這個」
this,ata_kl,kwani / kwe / yi’a / c’a,,2026學習詞表 02-17「這個」：yi’a(眉原) / c’a(眉原)
this,say,hini,,2026學習詞表 02-17「這個」
this,tha,haya,,2026學習詞表 02-17「這個」
this,sed_to,ni,,2026學習詞表 02-17「這個」
this,sed_tg,nii,,2026學習詞表 02-17「這個」
this,sed_tr,nii,,2026學習詞表 02-17「這個」
this,bun_td,dii,,2026學習詞表 02-17「這個」
this,bun_bh,mackiʼ/di,,2026學習詞表 02-17「這個」
this,bun_vt,siati/siadii/aipi,,2026學習詞表 02-17「這個」：dii/dikun
this,bun_bn,naipi / dii,,2026學習詞表 02-17「這個」：nepi/dii
this,bun_ib,andipa,,"2026學習詞表 02-17「這個」：主-saiin(貼身), saian(近)/受-saicin(貼身), saitan(近)"
this,pai_es,aycu,,2026學習詞表 02-17「這個」
this,pai_nt,aicu,,2026學習詞表 02-17「這個」
this,pai_ct,aicu,,2026學習詞表 02-17「這個」
this,pai_st,aicu,,2026學習詞表 02-17「這個」
this,ruk_es,kaivai,,2026學習詞表 02-17「這個」
this,ruk_bd,kikay,,2026學習詞表 02-17「這個」
this,ruk_tw,kaivai,,2026學習詞表 02-17「這個」
this,ruk_tn,kikay,,2026學習詞表 02-17「這個」
this,ruk_mg,kɨné,,2026學習詞表 02-17「這個」
this,ruk_mn,ʼina,,2026學習詞表 02-17「這個」
this,puy_py,idrini,,2026學習詞表 02-17「這個」：idri是省略用語
this,puy_tp,ini,,2026學習詞表 02-17「這個」
this,puy_ws,ini,,2026學習詞表 02-17「這個」：單數
this,puy_ks,ini,,2026學習詞表 02-17「這個」：單數
this,trv,nii,,2026學習詞表 02-17「這個」
this,kav,zau,,2026學習詞表 02-17「這個」
this,tso,eni,,2026學習詞表 02-17「這個」
this,knv,isi,,2026學習詞表 02-17「這個」
this,hla,kaniʼi,,2026學習詞表 02-17「這個」
this,yam,oya,,2026學習詞表 02-17「這個」
this,sak,kuyni/uyni,,2026學習詞表 02-17「這個」
this,pan,*i-ni,,ACD PAN 19072-ea5a2ba944083bbb4bb4dcab6e6daf3c-1「this; here」
this,pmp,*i-ni,,ACD PMP 19081-ea5a2ba944083bbb4bb4dcab6e6daf3c-1「this; here」
that,ami_nt,iraan,,2026學習詞表 02-16「那個」
that,ami_hk,nora/raan,,2026學習詞表 02-16「那個」
that,ami_ha,ora,,2026學習詞表 02-16「那個」
that,ami_ml,kora,,2026學習詞表 02-16「那個」
that,ami_hc,kora,,2026學習詞表 02-16「那個」
that,ata_sq,qasa,,2026學習詞表 02-16「那個」
that,ata_su,hasa,,2026學習詞表 02-16「那個」：haca
that,ata_ml,haca,,2026學習詞表 02-16「那個」
that,ata_pl,kaca/haca,,2026學習詞表 02-16「那個」
that,ata_sk,qaca,,2026學習詞表 02-16「那個」
that,ata_kl,kwaca / kyaca / asa / yasa,,2026學習詞表 02-16「那個」：asa(眉原) / yasa(眉原)
that,say,hiza,,2026學習詞表 02-16「那個」
that,tha,huya,,2026學習詞表 02-16「那個」
that,sed_to,way,,2026學習詞表 02-16「那個」：wa那個
that,sed_tg,gaga,,2026學習詞表 02-16「那個」
that,sed_tr,gaga,,2026學習詞表 02-16「那個」
that,bun_td,aiza,,2026學習詞表 02-16「那個」：aiza/mackaʼ/naipaʼ
that,bun_bh,mackaʼ/eza,,2026學習詞表 02-16「那個」
that,bun_vt,siata/naipa/daiza,,2026學習詞表 02-16「那個」
that,bun_bn,naipa / siata,,2026學習詞表 02-16「那個」：nepa
that,bun_ib,adipa,,2026學習詞表 02-16「那個」：主-saia/受-saicia
that,pai_es,azuwa,,2026學習詞表 02-16「那個」
